city_name,state,abbreviation,population,latitude,longitude
Gainesville,Florida,FL,127488,29.6516344,-82.3248262
West Sacramento,California,CA,49891,38.5804609,-121.53023400000001
Sammamish,Washington,WA,50169,47.616268299999994,-122.0355736
Aventura,Florida,FL,37199,25.9564812,-80.1392121
Fayetteville,Arkansas,AR,78960,36.0625795,-94.1574263
San Rafael,California,CA,58994,37.9735346,-122.5310874
Conway,Arkansas,AR,63816,35.0886963,-92.44210109999999
Tacoma,Washington,WA,203446,47.252876799999996,-122.4442906
Middletown,Connecticut,CT,47333,41.562320899999996,-72.6506488
Burlington,Vermont,VT,42284,44.475882500000004,-73.21207199999999
Twin Falls,Idaho,ID,45981,42.5629668,-114.46087109999999
Sherman,Texas,TX,39296,33.635661799999994,-96.60888050000001
New York,New York,NY,8405837,40.7127837,-74.00594129999999
Simi Valley,California,CA,126181,34.2694474,-118.78148200000001
West Covina,California,CA,107740,34.0686208,-117.93895259999998
Castle Rock,Colorado,CO,53063,39.372212100000006,-104.8560902
Valdosta,Georgia,GA,56481,30.8327022,-83.2784851
Fort Worth,Texas,TX,792727,32.7554883,-97.3307658
Carson,California,CA,92599,33.8316745,-118.28169299999999
Evansville,Indiana,IN,120310,37.9715592,-87.5710898
Santa Maria,California,CA,102216,34.953033700000006,-120.43571909999999
Brentwood,Tennessee,TN,40021,36.0331164,-86.7827772
La Mesa,California,CA,58642,32.7678287,-117.02308390000002
Westminster,Colorado,CO,110945,39.836652799999996,-105.03720459999998
Reading,Pennsylvania,PA,87893,40.335648299999995,-75.9268747
Turlock,California,CA,70365,37.494656799999994,-120.84659409999999
Greeley,Colorado,CO,96539,40.42331420000001,-104.7091322
Tyler,Texas,TX,100223,32.351260100000005,-95.3010624
Winter Garden,Florida,FL,37711,28.5652787,-81.5861847
Waco,Texas,TX,129030,31.549333,-97.1466695
Martinez,California,CA,37165,38.0193657,-122.1341321
Thousand Oaks,California,CA,128731,34.1705609,-118.83759369999999
Azusa,California,CA,47842,34.1336186,-117.90756270000001
Bridgeport,Connecticut,CT,147216,41.18654779999999,-73.1951767
St. Louis Park,Minnesota,MN,47411,44.9597376,-93.3702186
Chesterfield,Missouri,MO,47749,38.6631083,-90.5770675
Greenacres,Florida,FL,38696,26.6276276,-80.1353896
Pasco,Washington,WA,67599,46.239579299999995,-119.10056570000002
Torrance,California,CA,147478,33.835849200000006,-118.34062879999999
Madison,Wisconsin,WI,243344,43.07305170000001,-89.4012302
Janesville,Wisconsin,WI,63820,42.6827885,-89.01872220000001
Waukegan,Illinois,IL,88826,42.3636331,-87.84479379999999
Bowling Green,Kentucky,KY,61488,36.9685219,-86.48080429999999
Arlington,Texas,TX,379577,32.735687,-97.10806559999999
Lewisville,Texas,TX,101074,33.046233,-96.994174
Farmington,New Mexico,NM,45426,36.7280583,-108.21868559999999
Oakley,California,CA,38194,37.9974219,-121.71245359999999
Palo Alto,California,CA,66642,37.441883399999995,-122.14301950000001
Springfield,Oregon,OR,60177,44.0462362,-123.02202890000001
New Bedford,Massachusetts,MA,95078,41.6362152,-70.934205
Redmond,Washington,WA,57530,47.6739881,-122.12151200000001
Brentwood,California,CA,55000,37.931868,-121.6957863
Davis,California,CA,66205,38.5449065,-121.74051670000001
La Mirada,California,CA,49133,33.9172357,-118.01200859999999
Smyrna,Tennessee,TN,43060,35.9828412,-86.51860450000001
Altoona,Pennsylvania,PA,45796,40.5186809,-78.3947359
Dothan,Alabama,AL,68001,31.223231300000002,-85.39048879999999
East Orange,New Jersey,NJ,64544,40.767323,-74.20486770000001
Tinley Park,Illinois,IL,57282,41.5731442,-87.7932939
Biloxi,Mississippi,MS,44820,30.396031800000003,-88.88530779999999
Urbana,Illinois,IL,41752,40.1105875,-88.2072697
Garden Grove,California,CA,175140,33.773905299999996,-117.9414477
Lynwood,California,CA,71371,33.930293,-118.21146029999998
Northglenn,Colorado,CO,37499,39.8961821,-104.98114679999999
Canton,Ohio,OH,72535,40.7989473,-81.378447
Brookhaven,Georgia,GA,50603,33.8651033,-84.3365917
Baton Rouge,Louisiana,LA,229426,30.458282899999997,-91.1403196
Bristol,Connecticut,CT,60568,41.6717648,-72.9492703
Independence,Missouri,MO,117240,39.0911161,-94.4155068
